영도 흰여울해안터널,,,,NNP,*,T,영도흰여울해안터널,*,*,*,*
달음산자연휴양림,,,,NNP,*,T,달음산자연휴양림,*,*,*,*
구상반려암,,,,NNP,*,T,구상반려암,*,*,*,*
낙동강하구,,,,NNP,*,F,낙동강하구,*,*,*,*
두도,,,,NNP,*,F,두도,*,*,*,*
두송반도,,,,NNP,*,F,두송반도,*,*,*,*
몰운대,,,,NNP,*,F,몰운대,*,*,*,*
백양산,,,,NNP,*,T,백양산,*,*,*,*
송도반도,,,,NNP,*,F,송도반도,*,*,*,*
장산,,,,NNP,*,T,장산,*,*,*,*
마린시티,,,,NNP,*,F,마린시티,*,*,*,*
북맛골,,,,NNP,*,T,북맛골,*,*,*,*
금정산성마을 먹거리촌,,,,NNP,*,T,금정산성마을먹거리촌,*,*,*,*
치유의 숲,,,,NNP,*,T,치유의숲,*,*,*,*
안데르센 동화마을,,,,NNP,*,T,안데르센동화마을,*,*,*,*
회동수원지,,,,NNP,*,F,회동수원지,*,*,*,*
호천마을,,,,NNP,*,T,호천마을,*,*,*,*
죽성성당,,,,NNP,*,T,죽성성당,*,*,*,*
엑스더스카이,,,,NNP,*,F,엑스더스카이,*,*,*,*
역사의 디오라마,,,,NNP,*,F,역사의디오라마,*,*,*,*
해운대 블루라인파크,,,,NNP,*,F,해운대블루라인파크,*,*,*,*
승학산,,,,NNP,*,T,승학산,*,*,*,*
땅뫼산,,,,NNP,*,T,땅뫼산,*,*,*,*
영도 청학배수지 전망대,,,,NNP,*,F,영도청학배수지전망대,*,*,*,*
우암동 도시 숲,,,,NNP,*,T,우암동도시숲,*,*,*,*
흰여울문화마을,,,,NNP,*,T,흰여울문화마을,*,*,*,*
기장해녀촌,,,,NNP,*,T,기장해녀촌,*,*,*,*
연화리횟촌,,,,NNP,*,T,연화리횟촌,*,*,*,*
광안리 SUP Zone,,,,NNP,*,T,광안리SUPZone,*,*,*,*
이중섭거리,,,,NNP,*,F,이중섭거리,*,*,*,*
가덕도,,,,NNP,*,F,가덕도,*,*,*,*
월전포구,,,,NNP,*,F,월전포구,*,*,*,*
월전방파제,,,,NNP,*,F,월전방파제,*,*,*,*
죽성항,,,,NNP,*,T,죽성항,*,*,*,*
황학대,,,,NNP,*,T,황학대,*,*,*,*
영주하늘눈전망대,,,,NNP,*,F,영주하늘눈전망대,*,*,*,*
천마산하늘전망대,,,,NNP,*,F,천마산하늘전망대,*,*,*,*
캐비네 드 쁘아쏭,,,,NNP,*,T,캐비네드쁘아쏭,*,*,*,*
황령산,,,,NNP,*,F,황령산,*,*,*,*
황령산 전망대,,,,NNP,*,F,황령산전망대,*,*,*,*
아미산,,,,NNP,*,F,아미산,*,*,*,*
아미산 전망대,,,,NNP,*,F,아미산전망대,*,*,*,*
청학 수변공원,,,,NNP,*,T,청학수변공원,*,*,*,*
영도 하늘전망대,,,,NNP,*,F,영도하늘전망대,*,*,*,*
대항전망대,,,,NNP,*,F,대항전망대,*,*,*,*
천성항 방파제등대,,,,NNP,*,F,천성항방파제등대,*,*,*,*
구덕문화공원,,,,NNP,*,T,구덕문화공원,*,*,*,*
대신공원,,,,NNP,*,T,대신공원,*,*,*,*
민주공원,,,,NNP,*,T,민주공원,*,*,*,*
중앙공원,,,,NNP,*,T,중앙공원,*,*,*,*
장미원,,,,NNP,*,T,장미원,*,*,*,*
구포 어린이교통공원,,,,NNP,*,T,구포어린이교통공원,*,*,*,*
화명수목원,,,,NNP,*,T,화명수목원,*,*,*,*
소두방공원,,,,NNP,*,T,소두방공원,*,*,*,*
신평소공원,,,,NNP,*,T,신평소공원,*,*,*,*
장안사계곡,,,,NNP,*,T,장안사계곡,*,*,*,*
은진사,,,,NNP,*,F,은진사,*,*,*,*
홍연폭포,,,,NNP,*,F,홍연폭포,*,*,*,*
송상현광장,,,,NNP,*,T,송상현광장,*,*,*,*
오륜대전망대,,,,NNP,*,F,오륜대전망대,*,*,*,*
미포,,,,NNP,*,F,미포,*,*,*,*
삼익비치수변공원,,,,NNP,*,T,삼익비치수변공원,*,*,*,*
오시리아 해안산책로,,,,NNP,*,F,오시리아해안산책로,*,*,*,*
센텀 APEC나루공원,,,,NNP,*,T,센텀APEC나루공원,*,*,*,*
안심치유정원,,,,NNP,*,T,안심치유정원,*,*,*,*
곰내연밭,,,,NNP,*,T,곰내연밭,*,*,*,*
송정역,,,,NNP,*,T,송정역,*,*,*,*
가덕해양파크휴게소,,,,NNP,*,F,가덕해양파크휴게소,*,*,*,*
해운대수목원,,,,NNP,*,T,해운대수목원,*,*,*,*
해리단길,,,,NNP,*,T,해리단길,*,*,*,*
낙동강 생태탐방선,,,,NNP,*,T,낙동강생태탐방선,*,*,*,*
대연수목전시원,,,,NNP,*,T,대연수목전시원,*,*,*,*
라벤더팜,,,,NNP,*,T,라벤더팜,*,*,*,*
다대포항,,,,NNP,*,T,다대포항,*,*,*,*
미포항,,,,NNP,*,T,미포항,*,*,*,*
부산남항,,,,NNP,*,T,부산남항,*,*,*,*
관음사,,,,NNP,*,F,관음사,*,*,*,*
